話者,ハイライト,会話文,キャラ配置,キャラモーション,背景,BGM,その他,0
守護獣,Urura,……礼を言う。私も守護獣として、そして君と共に魔王に抗う者として君をサポートさせてもらう,,,,,,0
${name},Hero_stick,ありがとうございます、守護獣様,,,,,,0
ウルラ,Urura,あまり堅苦しくしないでくれ。私はウルラ・ポルティウム。ウルラで構わない,,,,,,0
${name},Hero_stick,わかった。よろしく、ウルラ,,,,,,0
同僚,Villager_green1,街の安全は俺たちに任してください！,Villager_green1,Cut,,,,0
村人A,Villager_green2,お前がいつ帰ってきても大丈夫なように、復興も頑張って進めておくからな！,Villager_blue1 Villager_green2 Villager_blue2,Cut,,,,0
村人B,Villager_blue1,忘れものがないように旅支度はしっかりしておくんだぞ！,,,,,,0
ウルラ,Urura,お前たち……ありがとう。私のいない間、街を頼んだぞ,Hero_stick Urura.joy,,,,,0
村人C,Villager_blue2,はい！　かしこまりました！,Villager_blue1 Villager_green2 Villager_blue2,Cut,,,,0
ウルラ,Urura,では${name}、君の準備ができ次第、街を出るとしようか,Hero_stick Urura,Cut,,,,0
,,,Clear,,Blackout,,,0
